slpm_diff,str_acc_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,win_streak_diff,finish_rate_diff,age_diff,reach_diff,days_diff,title_fight,rounds,weight_class_lbs,date,winner
-0.5499999999999998,2,2,0.020000000000000018,-38,1,0.10000000000000003,-1,0.8,-5.839835728952771,-2.539999999999992,84,0,3.0,185,2024-03-23,1
0.009999999999999787,22,10,0.0,0,26,0.2,0,1.0,6.691307323750856,5.079999999999984,7,0,3.0,170,2024-03-30,1
1.1399999999999997,15,-7,-0.5700000000000001,6,-11,0.6,-1,0.1523809523809524,2.4147843942505176,-2.539999999999992,56,0,3.0,170,2024-03-30,0
0.48999999999999977,1,-7,-0.5,31,-7,-0.2,-1,1.0,1.7111567419575735,-7.6200000000000045,112,0,3.0,185,2024-03-30,1
-0.75,-3,10,2.5,20,-2,0.8,0,-0.36363636363636365,5.07049965776865,10.159999999999997,63,0,3.0,185,2024-03-30,1
2.6399999999999997,5,5,-4.98,-41,70,0.0,0,0.0,0.1314168377823428,-2.539999999999992,-203,0,3.0,205,2024-03-30,1
-1.04,-7,0,-3.41,9,66,0.9,0,0.6,4.2053388090349095,0.0,-21,0,3.0,185,2024-03-30,0
-2.1300000000000003,3,-7,1.65,41,-26,1.2,5,0.12727272727272732,-8.454483230663932,0.0,63,0,5.0,185,2024-04-06,1
-0.5300000000000002,-4,4,1.45,0,23,0.2,0,-0.1333333333333333,5.67556468172485,7.6200000000000045,147,0,3.0,170,2024-04-06,0
-3.1,-20,-6,1.93,38,16,0.10000000000000003,0,0.0,-11.797399041752222,2.539999999999992,0,0,3.0,185,2024-04-06,0
-1.1900000000000004,11,9,0.11,50,5,0.2,-2,0.0,3.865845311430526,0.0,-294,1,5.0,205,2024-04-13,1
0.1599999999999997,8,9,1.29,7,32,2.3,0,0.25,-1.6646132785763186,10.159999999999997,147,0,3.0,185,2024-04-13,1
1.58,5,-8,-0.06000000000000005,37,-17,0.1,0,0.6666666666666667,-0.6872005475701606,5.079999999999984,-546,0,3.0,205,2024-04-13,1
-0.98,-16,-2,1.3,34,-5,0.7,-1,-0.2857142857142857,1.054072553045863,7.6200000000000045,168,0,3.0,205,2024-04-27,0
-0.4299999999999997,-11,4,0.7799999999999999,-10,9,0.2,1,-0.4666666666666667,9.177275838466802,10.159999999999997,56,0,3.0,170,2024-04-27,0
-0.94,-11,-17,0.1499999999999999,-30,-41,0.9,-5,0.8,5.138945927446954,2.539999999999992,-14,0,3.0,185,2024-05-04,0
0.04999999999999982,2,1,0.3999999999999999,34,10,0.7,6,0.0,2.6447638603696078,-5.0800000000000125,-28,0,3.0,185,2024-05-04,1
0.46999999999999975,4,-3,-2.81,-36,-21,-0.4,-4,0.33333333333333337,9.089664613278579,-2.5400000000000205,84,0,3.0,205,2024-05-04,1
1.12,2,4,1.35,-17,-19,-0.8,0,1.0,-3.3210130047912365,-12.700000000000017,-119,0,3.0,170,2024-05-11,0
-2.9799999999999995,-2,-1,-0.07999999999999996,-29,-7,0.0,-1,-0.050000000000000044,3.055441478439427,-2.5400000000000205,-98,0,3.0,205,2024-05-11,0
1.29,-10,11,0.79,-21,39,0.1,1,-0.25,-0.43531827515401034,0.0,0,0,3.0,170,2024-05-11,1
0.16999999999999993,0,6,1.43,7,38,-0.6000000000000001,0,0.25,0.33949349760437997,15.240000000000009,-14,0,3.0,185,2024-05-18,1
1.5499999999999998,8,24,-1.48,-11,67,-0.09999999999999998,0,0.0,-5.393566050650239,17.78,0,0,3.0,205,2024-05-18,1
1.0099999999999998,16,13,2.8199999999999994,24,35,-1.1,1,-0.5,1.8179329226557144,12.700000000000017,-707,0,3.0,170,2024-05-18,1
1.1500000000000004,-4,-14,-1.46,-22,-4,-0.6,-1,-0.15000000000000002,-6.72416153319644,2.5400000000000205,91,0,3.0,170,2024-05-18,1
-1.04,-1,-9,-0.20000000000000007,-5,3,0.6,0,-0.1071428571428571,2.2970568104038307,17.78,0,0,3.0,185,2024-06-01,1
0.5500000000000003,6,-7,-0.91,-6,-11,-0.3,0,0.41666666666666663,4.08761122518823,17.78,147,0,3.0,170,2024-06-01,0
-0.20999999999999996,11,8,-1.06,8,-13,1.6,0,0.8333333333333334,0.02464065708418417,5.0800000000000125,462,0,3.0,170,2024-06-01,0
-0.5800000000000001,8,-5,-1.02,-42,-27,0.3,1,0.0,3.09924709103354,-2.539999999999992,-49,0,3.0,185,2024-06-01,0
-0.3099999999999996,-16,11,0.41,14,-4,0.2,0,-0.3333333333333333,0.14510609171800581,10.159999999999997,28,0,5.0,185,2024-06-01,1
